strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r,group_strike
37.0,4.8,4.4108029231852575,0.38919707681474236,0.15147436460114047,0.8974048023284017,2026-04-25,JUL 2026,0.2273972602739726,41.23,138.0,train,0.16839178883451122,0.02,37.0
37.0,4.63,4.318603101058575,0.31139689894142464,0.09696802867033583,0.8974048023284017,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,train,0.16839178883451122,0.02,37.0
37.0,4.43,4.245597500937435,0.184402499062565,0.03400428166051929,0.8974048023284017,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,train,0.16839178883451122,0.02,37.0
37.0,4.15,4.740505546232025,0.5905055462320243,0.3486968001307814,0.8866522885214475,2026-04-02,APR 2026,0.0410958904109589,41.73,141.0,test,0.16839178883451122,0.02,37.0
37.0,4.52,4.302140175104158,0.21785982489584121,0.047462903303646595,0.8965350133268718,2026-04-13,MAY 2026,0.0876712328767123,41.27,138.0,test,0.16839178883451122,0.02,37.0
38.0,2.69,3.2392338529083307,0.5492338529083307,0.30165782518052986,0.9223300970873786,2026-04-01,APR 2026,0.0438356164383561,41.2,138.0,train,0.19115808923370206,0.02,38.0
38.0,4.56,4.752343032356835,0.19234303235683559,0.036995842096222704,0.9223300970873786,2026-04-01,DEC 2026,0.7150684931506849,41.2,150.0,train,0.19115808923370206,0.02,38.0
38.0,3.41,3.654766593880517,0.24476659388051702,0.059910685479869955,0.9223300970873786,2026-04-01,JUN 2026,0.2164383561643835,41.2,138.0,train,0.19115808923370206,0.02,38.0
38.0,5.15,5.202360182782501,0.05236018278250043,0.0027415887410168547,0.9223300970873786,2026-04-01,MAR 2027,0.9643835616438357,41.2,165.0,train,0.19115808923370206,0.02,38.0
38.0,3.12,3.4074768744900736,0.28747687449007353,0.08264295336658149,0.9223300970873786,2026-04-01,MAY 2026,0.1205479452054794,41.2,138.0,train,0.19115808923370206,0.02,38.0
38.0,3.88,4.245016277831248,0.36501627783124846,0.13323688308177917,0.9223300970873786,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,train,0.19115808923370206,0.02,38.0
38.0,3.85,4.102137437607219,0.25213743760721874,0.06357328744313412,0.910615863886892,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,train,0.19115808923370206,0.02,38.0
38.0,5.57,5.588709482174828,0.018709482174827485,0.0003500447232501874,0.910615863886892,2026-04-02,MAR 2027,0.9616438356164384,41.73,165.0,train,0.19115808923370206,0.02,38.0
38.0,4.28,4.6552887442007655,0.3752887442007653,0.14084164152378745,0.910615863886892,2026-04-02,SEP 2026,0.4630136986301369,41.73,150.0,train,0.19115808923370206,0.02,38.0
