strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,group_strike,sigma_calibrated
44.0,0.47,0.33436883513489774,0.13563116486510224,0.018395812882664543,1.0671840892553965,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,44.0,0.18780507224975548
44.0,0.24,0.06009810993331272,0.17990189006668728,0.032364690049566436,1.0671840892553965,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,44.0,0.18780507224975548
44.0,1.04,1.0007474956110773,0.03925250438892269,0.0015407591008023953,1.0671840892553965,2026-04-25,SEP 2026,0.4,41.23,150.0,44.0,0.18780507224975548
45.0,0.32,0.33097144260541117,0.010971442605411164,0.00012037255284383131,1.0922330097087378,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,45.0,0.18806954944437385
45.0,0.18,0.12182152280855642,0.058178477191443576,0.0033847352083153205,1.0922330097087378,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,45.0,0.18806954944437385
45.0,0.81,0.8789291774098892,0.06892917740988913,0.00475123149840397,1.0922330097087378,2026-04-01,SEP 2026,0.4657534246575342,41.2,150.0,45.0,0.18806954944437385
45.0,0.42,0.4280207056499463,0.008020705649946336,6.433171912308107e-05,1.0783608914450036,2026-04-02,JUN 2026,0.2136986301369863,41.73,141.0,45.0,0.18806954944437385
45.0,0.23,0.1767575686822374,0.0532424313177626,0.0028347564926266677,1.0783608914450036,2026-04-02,MAY 2026,0.1178082191780822,41.73,141.0,45.0,0.18806954944437385
45.0,0.95,1.0326850652238106,0.0826850652238107,0.006836820011065828,1.0783608914450036,2026-04-02,SEP 2026,0.46301369863013697,41.73,150.0,45.0,0.18806954944437385
45.0,0.17,0.06573455728788659,0.10426544271211342,0.010871282543953007,1.090380421613763,2026-04-13,MAY 2026,0.08767123287671233,41.27,138.0,45.0,0.18806954944437385
45.0,0.88,0.8291961076615502,0.05080389233844984,0.0025810354767368026,1.090380421613763,2026-04-13,SEP 2026,0.4328767123287671,41.27,150.0,45.0,0.18806954944437385
45.0,0.28,0.1884316759372772,0.09156832406272283,0.008384757971655825,1.0914382731021102,2026-04-25,JUN 2026,0.1506849315068493,41.23,138.0,45.0,0.18806954944437385
45.0,0.12,0.01758550792086061,0.10241449207913939,0.010488728187828105,1.0914382731021102,2026-04-25,MAY 2026,0.0547945205479452,41.23,138.0,45.0,0.18806954944437385
45.0,0.79,0.7475853154416092,0.042414684558390814,0.001799005466187796,1.0914382731021102,2026-04-25,SEP 2026,0.4,41.23,150.0,45.0,0.18806954944437385
46.0,0.22,0.20643752782039287,0.013562472179607127,0.00018394065162261728,1.116504854368932,2026-04-01,JUN 2026,0.21643835616438356,41.2,138.0,46.0,0.18867376052249457
46.0,0.11,0.05837723632535432,0.05162276367464568,0.0026649097294083176,1.116504854368932,2026-04-01,MAY 2026,0.12054794520547946,41.2,138.0,46.0,0.18867376052249457
