strike,market_price,fem_price,abs_error,sq_error,moneyness,date,maturity,tau,S0,S_max,set,sigma_calibrated,r
24.0,17.17,17.851909294075092,0.6819092940750906,0.4650002853459884,0.5751258087706687,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
80.0,0.02,0.0014771166438759147,0.018522883356124085,0.00034309720782457867,1.917086029235562,2026-04-02,JUN 2027,1.210958904109589,41.73,240.0,train,0.1758948346341473,0.02
28.0,13.61,13.525968774622708,0.08403122537729146,0.007061246838409153,0.6784589290041192,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
30.0,11.81,11.641434651688042,0.16856534831195802,0.028414276651531727,0.726920281075842,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
40.0,4.47,4.003564407871541,0.46643559212845886,0.21756216160422603,0.9692270414344559,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
60.0,0.23,0.10610059155369553,0.12389940844630448,0.015351063413344187,1.453840562151684,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
55.0,0.48,0.3031946085451317,0.1768053914548683,0.03126014644750921,1.332687181972377,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
35.0,7.76,7.324470041785365,0.4355299582146346,0.18968634450244135,0.8480736612551489,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
50.0,1.05,0.7993228051701574,0.25067719482984263,0.06283905600775888,1.21153380179307,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
80.0,0.02,0.0009872289089943428,0.01901277109100566,0.0003614854645589805,1.9384540828689119,2026-04-13,JUN 2027,1.180821917808219,41.27,240.0,train,0.1758948346341473,0.02
35.0,7.58,7.257533331519542,0.322466668480458,0.10398475228088562,0.8488964346349746,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
30.0,11.67,11.588566388691435,0.08143361130856519,0.006631433050754476,0.7276255154014069,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
26.0,15.31,15.405236896516776,0.09523689651677536,0.009070066458146979,0.6306087800145526,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
50.0,0.96,0.7587910866421206,0.20120891335787938,0.04048502681465861,1.212709192335678,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
55.0,0.42,0.281164595390813,0.13883540460918697,0.019275269572996655,1.3339801115692458,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
60.0,0.2,0.09580411724761882,0.10419588275238119,0.010856781982547968,1.4552510308028137,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
45.0,2.14,1.841656083979201,0.298343916020799,0.08900909222662558,1.0914382731021102,2026-04-25,JUN 2027,1.147945205479452,41.23,240.0,train,0.1758948346341473,0.02
