strike,market_price,fem_price,abs_error,sq_error,moneyness,set,date,maturity,expiry,tau,S0,S_max,sigma_calibrated,r,options_csv
44.0,1.16,1.144099111844958,0.01590088815504198,0.0002528382441191544,1.0661497455779017,test,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
45.0,0.88,0.8726600066734186,0.007339993326581418,5.387550203425975e-05,1.090380421613763,test,2026-04-13,SEP 2026,2026-09-18,0.4328767123287671,41.27,150.0,0.1919894055310567,0.02,../data/daily_clean/2026-04-13_options.csv
41.0,1.27,1.284110215232569,0.014110215232568946,0.0001990981739094207,0.994421537715256,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
36.0,5.39,5.378590300652532,0.011409699347467495,0.00013018123919960017,0.8731506184816882,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
45.0,0.12,0.1403060711596023,0.020306071159602312,0.0004123365259388328,1.0914382731021102,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
46.0,0.06,0.06804822684419824,0.008048226844198245,6.477395533567324e-05,1.1156924569488238,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
38.0,3.52,3.4895711338320123,0.030428866167987678,0.0009259158962693051,0.9216589861751153,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
37.0,4.43,4.412776210002306,0.017223789997693473,0.00029665894188464574,0.8974048023284017,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
44.0,0.24,0.27028005198983823,0.03028005198983824,0.0009168815485073069,1.0671840892553965,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
40.0,1.91,1.895371138668623,0.014628861331376974,0.0002140035838526565,0.9701673538685424,train,2026-04-25,MAY 2026,2026-05-15,0.0547945205479452,41.23,138.0,0.2840667742259585,0.02,../data/daily_clean/2026-04-25_options.csv
