strike,market_price,fem_price,abs_error,sq_error,moneyness,analytic_price,analytic_abs_error,analytic_sq_error,experiment,order,cl1,cl2,theta,nsteps,sigma,r,tau,S0,S_max
46.0,0.11,0.07856957829687744,0.03143042170312256,0.0009878714084361176,1.116504854368932,0.07842322898694398,0.00014634930993345785,2.1418120517999305e-08,ordre,3,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310750560942505,0.4407505609425053,0.19426105697113308,0.8737864077669902,5.310750595671216,3.472871057397242e-08,1.2060833381307439e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.3545557004037,0.3845557004036997,0.14788308671298003,0.8980582524271844,4.35455577224274,7.183904049412604e-08,5.160847739116681e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4456993883757474,0.3256993883757473,0.10608009158833588,0.9223300970873786,3.4456994588190355,7.044328809158173e-08,4.962256837153581e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.6135217524674723,0.25352175246747244,0.06427327897417837,0.9466019417475727,2.6135217598430245,7.37555216900887e-09,5.4398769797771445e-17,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8882415223255533,0.18824152232555336,0.0354348707274418,0.9708737864077669,1.8882414365962106,8.572934273587407e-08,7.349520205924963e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.292579872625294,0.13257987262529403,0.01757742262533919,0.9951456310679611,1.2925797385810434,1.3404425058816116e-07,1.7967861115741743e-14,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.834946647029373,0.08494664702937305,0.007215932841532892,1.0194174757281553,0.8349465307151647,1.1631420837598938e-07,1.3528995070133079e-14,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5075465674865939,0.03754656748659391,0.0014097447300253506,1.0436893203883495,0.5075465363030709,3.118352298603355e-08,9.72412105820483e-16,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.2899125927284897,8.740727151029803e-05,7.640031112874958e-09,1.0679611650485437,0.2899126482612271,5.5532737408547916e-08,3.083884924086737e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15554525361664717,0.02445474638335282,0.0005980346206741079,1.0922330097087378,0.15554535099070765,9.737406048149211e-08,9.481707654653283e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07842314118919033,0.03157685881080967,0.0009970980123578082,1.116504854368932,0.07842322898694398,8.779775365064246e-08,7.708445546098901e-15,theta,2,0.05,0.05,0.5,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310849502000968,0.44084950200096795,0.19434828341450144,0.8737864077669902,5.310750595671216,9.89063297520687e-05,9.78246206502495e-09,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354654559231425,0.38465455923142455,0.1479591299375215,0.8980582524271844,4.35455577224274,9.878698868437397e-05,9.75886913332663e-09,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.4457353211876787,0.32573532118767856,0.10610349946924011,0.9223300970873786,3.4456994588190355,3.586236864316916e-05,1.2861094846985629e-09,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.613435919383437,0.253435919383437,0.06422976523372799,0.9466019417475727,2.6135217598430245,8.58404595875939e-05,7.368584502209341e-09,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8880260191400782,0.18802601914007822,0.03535378387366506,0.9708737864077669,1.8882414365962106,0.00021541745613240515,4.64046804065567e-08,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.2922957284830001,0.1322957284830002,0.01750215977484771,0.9951456310679611,1.2925797385810434,0.0002840100980432414,8.066173579053159e-08,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.8346926874121757,0.08469268741217573,0.007172851301096509,1.0194174757281553,0.8349465307151647,0.0002538433029889431,6.443642247233636e-08,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5074033615432126,0.037403361543212665,0.0013990114547322802,1.0436893203883495,0.5075465363030709,0.00014317475985825556,2.0499011860469147e-08,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.289904483932743,9.551606725699546e-05,9.123319104242882e-09,1.0679611650485437,0.2899126482612271,8.164328484105976e-06,6.665625959638418e-11,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15564209632293063,0.02435790367706936,0.000593307471541389,1.0922330097087378,0.15554535099070765,9.674533222298054e-05,9.359659306934877e-09,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
46.0,0.11,0.07856957825960013,0.031430421740399866,0.0009878714107794005,1.116504854368932,0.07842322898694398,0.0001463492726561516,2.1418109606984606e-08,theta,2,0.05,0.05,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
36.0,4.87,5.310849501765894,0.44084950176589377,0.19434828320723677,0.8737864077669902,5.310750595671216,9.890609467788636e-05,9.78241556443102e-09,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
37.0,3.97,4.354654557971297,0.38465455797129655,0.14795912896809355,0.8980582524271844,4.35455577224274,9.878572855637202e-05,9.758620166413214e-09,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
38.0,3.12,3.44573531954597,0.32573531954597,0.1061034983997152,0.9223300970873786,3.4456994588190355,3.586072693462228e-05,1.2859917362795438e-09,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
39.0,2.36,2.6134359184846385,0.25343591848463864,0.0642297647781524,0.9466019417475727,2.6135217598430245,8.584135838596296e-05,7.3687388095473335e-09,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
40.0,1.7,1.8880260195187992,0.18802601951879927,0.03535378401608388,0.9708737864077669,1.8882414365962106,0.00021541707741135063,4.640451724044783e-08,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
41.0,1.16,1.2922957295386739,0.13229572953867397,0.017502160054169973,0.9951456310679611,1.2925797385810434,0.0002840090423694708,8.066113614762384e-08,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
42.0,0.75,0.834692688017755,0.08469268801775498,0.007172851403672778,1.0194174757281553,0.8349465307151647,0.0002538426974096897,6.443611502822727e-08,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
43.0,0.47,0.5074033610867708,0.03740336108677078,0.0013990114205873587,1.0436893203883495,0.5075465363030709,0.00014317521630013985,2.0499142562591832e-08,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
44.0,0.29,0.289904482719588,9.551728041196084e-05,9.123550857297157e-09,1.0679611650485437,0.2899126482612271,8.16554163907135e-06,6.667607025940803e-11,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
45.0,0.18,0.15564209513554442,0.024357904864455576,0.0005933075293858686,1.0922330097087378,0.15554535099070765,9.674414483676341e-05,9.359429560196657e-09,raffinement_maillage,2,0.1,0.1,1.0,500,0.2,0.02,0.12054794520547946,41.2,138.0
